num,N_cf,N_cs,N_uf,N_us,N_c,N_u,N_f,N_s
0,0,0,76,175,0,251,76,175
1,0,0,76,175,0,251,76,175
2,0,0,76,175,0,251,76,175
3,0,0,76,175,0,251,76,175
4,0,0,76,175,0,251,76,175
5,0,0,76,175,0,251,76,175
6,0,0,76,175,0,251,76,175
7,0,0,76,175,0,251,76,175
8,0,0,76,175,0,251,76,175
9,0,0,76,175,0,251,76,175
10,0,0,76,175,0,251,76,175
11,0,0,76,175,0,251,76,175
12,0,0,76,175,0,251,76,175
13,0,0,76,175,0,251,76,175
14,0,0,76,175,0,251,76,175
15,0,0,76,175,0,251,76,175
16,0,0,76,175,0,251,76,175
17,0,0,76,175,0,251,76,175
18,0,0,76,175,0,251,76,175
19,0,0,76,175,0,251,76,175
20,0,0,76,175,0,251,76,175
21,0,0,76,175,0,251,76,175
22,0,0,76,175,0,251,76,175
23,0,0,76,175,0,251,76,175
24,0,0,76,175,0,251,76,175
25,0,0,76,175,0,251,76,175
26,0,0,76,175,0,251,76,175
27,0,0,76,175,0,251,76,175
28,0,0,76,175,0,251,76,175
29,0,0,76,175,0,251,76,175
30,0,175,76,0,175,76,76,175
